epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
231,1.202,0.580,1.322,0.202,0.483,0.793,0.545,0.600,0.266
232,1.173,0.560,1.300,0.204,0.483,0.793,0.545,0.600,0.266
233,1.177,0.566,1.287,0.204,0.483,0.791,0.545,0.600,0.266
234,1.186,0.563,1.308,0.202,0.484,0.792,0.546,0.600,0.266
235,1.124,0.544,1.228,0.205,0.483,0.792,0.546,0.600,0.266
236,1.133,0.546,1.282,0.206,0.485,0.790,0.546,0.601,0.266
237,1.165,0.562,1.277,0.204,0.484,0.791,0.546,0.600,0.266
238,1.215,0.576,1.337,0.200,0.484,0.790,0.546,0.600,0.266
239,1.197,0.577,1.306,0.200,0.484,0.792,0.546,0.601,0.267
240,1.162,0.558,1.283,0.198,0.484,0.792,0.546,0.601,0.267
241,1.125,0.546,1.227,0.198,0.484,0.792,0.547,0.601,0.267
242,1.206,0.569,1.364,0.206,0.485,0.791,0.547,0.601,0.267
243,1.183,0.566,1.305,0.200,0.485,0.789,0.547,0.601,0.267
244,1.133,0.543,1.257,0.207,0.485,0.789,0.547,0.601,0.267
245,1.145,0.553,1.256,0.202,0.484,0.790,0.547,0.601,0.267
246,1.189,0.570,1.319,0.200,0.485,0.790,0.547,0.601,0.267
247,1.169,0.563,1.294,0.201,0.485,0.789,0.547,0.601,0.267
248,1.190,0.564,1.295,0.200,0.485,0.790,0.547,0.601,0.267
249,1.172,0.562,1.282,0.199,0.485,0.792,0.547,0.601,0.267
250,1.159,0.555,1.277,0.201,0.485,0.792,0.547,0.602,0.267
251,1.167,0.559,1.314,0.205,0.485,0.792,0.547,0.601,0.267
252,1.199,0.567,1.330,0.202,0.484,0.793,0.547,0.601,0.267
253,1.160,0.558,1.256,0.201,0.484,0.793,0.547,0.601,0.267
254,1.121,0.544,1.235,0.203,0.485,0.791,0.547,0.601,0.267
255,1.173,0.561,1.275,0.203,0.485,0.791,0.547,0.601,0.267
256,1.127,0.549,1.241,0.202,0.485,0.791,0.547,0.601,0.267
257,1.172,0.564,1.272,0.202,0.485,0.791,0.548,0.602,0.267
258,1.171,0.564,1.294,0.201,0.485,0.791,0.547,0.601,0.267
259,1.135,0.554,1.248,0.200,0.485,0.792,0.548,0.602,0.267
260,1.166,0.565,1.279,0.194,0.485,0.791,0.548,0.602,0.267
261,1.193,0.573,1.307,0.198,0.485,0.791,0.548,0.602,0.267
262,1.180,0.563,1.304,0.200,0.486,0.791,0.548,0.602,0.267
263,1.163,0.556,1.275,0.205,0.486,0.792,0.548,0.602,0.268
264,1.207,0.573,1.323,0.200,0.486,0.790,0.548,0.602,0.268
265,1.212,0.576,1.340,0.201,0.485,0.792,0.548,0.602,0.268
266,1.155,0.557,1.235,0.198,0.486,0.792,0.548,0.602,0.268
267,1.158,0.555,1.260,0.204,0.485,0.793,0.548,0.602,0.268
268,1.182,0.569,1.304,0.205,0.486,0.793,0.549,0.602,0.268
269,1.128,0.545,1.253,0.205,0.486,0.792,0.548,0.602,0.268
270,1.203,0.576,1.311,0.201,0.486,0.793,0.548,0.602,0.268
271,1.185,0.574,1.287,0.201,0.486,0.793,0.549,0.603,0.268
272,1.153,0.562,1.263,0.199,0.486,0.792,0.549,0.602,0.268
273,1.219,0.578,1.334,0.196,0.487,0.792,0.549,0.603,0.268
274,1.186,0.567,1.300,0.199,0.487,0.791,0.549,0.602,0.268
275,1.156,0.556,1.287,0.205,0.487,0.791,0.549,0.603,0.268
276,1.166,0.558,1.292,0.203,0.487,0.790,0.549,0.603,0.268
277,1.176,0.565,1.290,0.199,0.488,0.789,0.549,0.603,0.268
278,1.154,0.556,1.255,0.196,0.487,0.789,0.549,0.603,0.268
279,1.189,0.563,1.296,0.201,0.489,0.787,0.549,0.603,0.268
280,1.142,0.553,1.242,0.199,0.488,0.788,0.549,0.603,0.268
281,1.165,0.561,1.271,0.199,0.488,0.788,0.549,0.603,0.268
282,1.120,0.544,1.234,0.203,0.488,0.788,0.549,0.603,0.268
283,1.226,0.582,1.317,0.197,0.488,0.788,0.549,0.602,0.268
284,1.174,0.565,1.282,0.199,0.488,0.788,0.549,0.603,0.268
285,1.176,0.561,1.280,0.202,0.488,0.789,0.549,0.603,0.268
286,1.187,0.569,1.292,0.199,0.488,0.788,0.550,0.603,0.268
287,1.191,0.566,1.287,0.199,0.488,0.789,0.549,0.603,0.268
288,1.170,0.562,1.322,0.203,0.489,0.788,0.550,0.603,0.268
289,1.176,0.570,1.292,0.199,0.488,0.789,0.549,0.603,0.268
290,1.152,0.554,1.275,0.200,0.488,0.789,0.549,0.603,0.268
291,1.181,0.567,1.300,0.202,0.488,0.790,0.550,0.603,0.268
292,1.172,0.572,1.271,0.197,0.487,0.791,0.550,0.603,0.268
293,1.174,0.568,1.283,0.197,0.488,0.790,0.550,0.603,0.269
294,1.154,0.555,1.256,0.200,0.488,0.789,0.550,0.603,0.269
295,1.135,0.550,1.261,0.199,0.488,0.790,0.550,0.603,0.268
296,1.172,0.566,1.270,0.197,0.487,0.792,0.550,0.603,0.268
297,1.176,0.568,1.284,0.195,0.487,0.792,0.550,0.603,0.268
298,1.174,0.563,1.276,0.198,0.487,0.791,0.550,0.603,0.268
299,1.162,0.558,1.281,0.197,0.487,0.791,0.550,0.603,0.269
300,1.148,0.555,1.261,0.201,0.487,0.791,0.550,0.603,0.269
301,1.164,0.554,1.277,0.201,0.487,0.791,0.550,0.603,0.269
302,1.149,0.558,1.261,0.197,0.487,0.791,0.550,0.603,0.268
303,1.144,0.553,1.265,0.196,0.487,0.791,0.550,0.603,0.269
304,1.176,0.569,1.298,0.202,0.487,0.790,0.550,0.603,0.268
305,1.174,0.566,1.274,0.198,0.487,0.790,0.550,0.603,0.269
306,1.207,0.576,1.340,0.200,0.486,0.793,0.550,0.603,0.269
